workload,strategy,workers,repeat,status,steps_completed,mean_iteration_time_s,p95_iteration_time_s,throughput_samples_s,comm_fraction,straggler_impact_rate,final_val_loss,time_to_target_loss_s,mode_switches,failure_step,recovery_time_steps,wall_clock_run_s
heterogeneous_high_bw,adaptive,4,0,success,36,0.041465044269618785,0.18011693050722305,7727.889053034004,1.1605720351264095,1.0,0.48978998833224735,0.8948958625719442,1,,,2.395688100004918
dynamic_mixed,sync_ps,2,0,success,36,0.0969557941322417,0.10027315294383501,660.5729113135003,0.9770262981307946,0.0,0.44760962080152805,0.47289582543327435,0,,,0.4377463999990141
dynamic_mixed,sync_ps,4,0,success,36,0.18358930750154392,0.18760487805553547,697.3797796375725,0.987379078223184,0.4166666666666667,0.5529647674722232,2.174826909815448,0,,,1.8209657999977935
dynamic_mixed,async_ps_ssp,2,0,success,36,0.06285144696063055,0.06480978121566106,1018.7854169614753,1.5096138785637208,0.0,0.6017330532720523,1.4396058564239553,0,,,0.42478529999789316
dynamic_mixed,async_ps_ssp,4,0,success,36,0.11845458535169079,0.11942284641229613,1080.626414199098,1.529882304615541,0.4166666666666667,0.6002000054069818,2.9623488673371337,0,,,1.8216874999925494
dynamic_mixed,ring_allreduce,2,0,success,36,0.07614670322857835,0.14578978271744952,1410.7760464917355,0.6658543150967831,0.0,0.6910230582822023,nan,0,,,0.43083589999878313
dynamic_mixed,ring_allreduce,4,0,success,36,0.1303785820799467,0.24008694532282382,1537.1260690854335,0.6812535010867421,0.4166666666666667,0.6898531971763492,nan,0,,,1.782541400010814
dynamic_mixed,adaptive,2,0,success,36,0.05575513875514007,0.1341021464822686,1424.5157619087922,1.1783564368536024,0.0,0.5822040888728104,0.39277042149901903,2,,,0.4160089000070002
dynamic_mixed,adaptive,4,0,success,36,0.1028274228183701,0.22894706620576316,1511.6170694403995,1.1957368795563141,0.4166666666666667,0.39339469723412535,0.22892835066166178,1,,,1.8717039999901317
worker_crash,sync_ps,2,0,degraded,36,0.014010249405124695,0.016462606062814255,3329.5374531238176,0.6040598028974645,0.0,0.6087156747188762,0.2593925369276678,0,18,,0.4594003999955021
worker_crash,sync_ps,4,0,degraded,36,0.022578468808200733,0.02502857590876386,4937.841063313953,0.7599643605826607,1.0,0.3345224524958388,0.07367117386508218,0,18,,1.888574599986896
worker_crash,async_ps_ssp,2,0,degraded,36,0.009575353152604849,0.009872538338882754,4994.3959738148205,0.8908943368621581,0.0,0.46402754175532235,0.08767190865382594,0,18,,0.47631040000123903
worker_crash,async_ps_ssp,4,0,degraded,36,0.012831549020242904,0.014129146137853231,8687.514682256682,1.3372295799423657,1.0,0.419730062765676,0.16758608868302155,0,18,,1.853563300013775
worker_crash,ring_allreduce,2,0,failed,18,0.11322584040284697,0.11741208394668684,565.6826665905295,0.03760350180958911,0.0,0.5396368969213087,0.6857015257596784,0,18,,0.4076814000000013
worker_crash,ring_allreduce,4,0,failed,18,0.1822776462960057,0.19442007326678842,702.9620014044375,0.05152170983095693,1.0,0.47081394869900767,0.919991241333207,0,18,,1.82475169999816
worker_crash,adaptive,2,0,degraded,36,0.02699471064202111,0.11738649674722262,3975.660174174734,0.7111165922394759,0.0,0.47026966474850485,0.7227750615688344,1,18,1,0.4770974999992177
worker_crash,adaptive,4,0,degraded,36,0.04101468944710027,0.1862498867216691,7272.133959364004,1.1144848645259198,1.0,0.5447989367852435,1.1681757010646676,1,18,1,1.8769935999880545
