workload,strategy,effective_strategy,workers,repeat,step,status,mode,active_workers,iteration_time_s,compute_time_s,max_compute_time_s,comm_time_s,comm_fraction,local_loss,val_loss,throughput_samples_s,worker_cv,straggler_impact,mode_switched,switch_reason,failure_step,recovery_step
homogeneous_high_bw,sync_ps,sync_ps,2,0,11,success,ps,2,0.010955564869069918,5.199999577598646e-05,5.3800002206116915e-05,0.0109017648668638,0.9950892534662447,0.650400250629299,0.6411501157400095,5841.780023655991,0.03461551041791012,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,12,success,ps,2,0.010705900007029995,5.249999958323315e-05,6.590000702999532e-05,0.01064,0.9938445149883034,0.5361802791580008,0.6320967848063042,5978.012120230396,0.255238234245691,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,13,success,ps,2,0.010733824088838948,5.029999738326296e-05,5.4799995268695056e-05,0.010679024093570253,0.9948946438086612,0.47324065500634027,0.6244236936810168,5962.46030029012,0.08946318151233665,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,14,success,ps,2,0.01103643363577213,6.289999873843044e-05,6.86999992467463e-05,0.010967733636525383,0.9937751631084818,0.5772313959890242,0.6176683412838767,5798.974751459414,0.09220986538052711,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,15,success,ps,2,0.01070520000169985,5.1949995395261794e-05,6.520000169984996e-05,0.01064,0.9939095017664783,0.5417246324752047,0.613869809911268,5978.40301814423,0.25505307457146736,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,16,success,ps,2,0.010952427337900934,5.989999772282317e-05,6.550000398419797e-05,0.010886927333916736,0.9940195901818463,0.46416277056747196,0.6091969788635175,5843.453512677291,0.09348925510479318,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,17,success,ps,2,0.010709200003053993,6.669999856967479e-05,6.920000305399299e-05,0.01064,0.9935382658803403,0.5589407459673357,0.6051605940048385,5976.170020332875,0.037481326843288705,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,18,success,ps,2,0.01078669771004379,5.955000233370811e-05,6.790000770706683e-05,0.010718797702336724,0.9937052089960913,0.6062086683121471,0.6072007423488046,5933.233851580715,0.1402183863293292,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,19,success,ps,2,0.01091961556564622,4.400000034365803e-05,4.880000778939575e-05,0.010870815557856824,0.9955309774876211,0.5953141222273137,0.6150776561374616,5861.0121954611595,0.10909107498083229,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,20,success,ps,2,0.011236944745058946,4.930000432068482e-05,5.560000136028975e-05,0.011181344743698656,0.9950520357070601,0.6265056631244482,0.6049925648719066,5695.4983273493235,0.12778897281298346,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,21,success,ps,2,0.010694700009059161,5.040000542066991e-05,5.470000905916095e-05,0.01064,0.9948853161834529,0.7638874615722159,0.6016959506560161,5984.272578547085,0.08531752164078155,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,22,success,ps,2,0.01070299999949988,5.2900002629030496e-05,6.299999949987978e-05,0.01064,0.9941137999156476,0.4463675570145913,0.5951930391800487,5979.631879191866,0.19092620374238686,0.0,0,,,
homogeneous_high_bw,sync_ps,sync_ps,2,0,23,success,ps,2,0.010914140507482637,5.25499926880002e-05,5.649999366141856e-05,0.010857640513821218,0.994823230136841,0.5800878540649417,0.593230389326204,5863.952361262179,0.07516653563976237,0.0,0,,,
